video_id,datetime,title,description
7Oy2NmPwJXo,2024-09-26T23:24:35Z,I Quit My Job… Here’s How Much I Made 1 Year Later,"Here, I share all 9 ways I scrapped together cash in my first year of entrepreneurship. This video is not meant to be a flex (it ..."
ZVVkdXHqEuM,2024-09-23T15:45:12Z,Knowledge Distillation Explained in 60 Seconds #deeplearning,""
reXoKNC_Wx4,2024-09-20T18:15:44Z,Quantization Explained in 60 Seconds #AI,""
9joIFeKuf04,2024-09-16T14:01:44Z,Python Explained in 60 Seconds #programming,""
pNg2DJ4spXg,2024-09-12T16:36:12Z,Python QuickStart for People Learning AI [Mini-Course],"Here, I share a beginner QuickStart guide to AI development with Python. I cover the basics and walk through a concrete example ..."
FLkUOkeMd5M,2024-09-01T01:53:13Z,Compressing Large Language Models (LLMs) | w/ Python Code,"Here, I discuss 3 ways to do model compression on LLMs (i.e. Quantization, Pruning, and Knowledge Distillation/Model ..."
kmrekqjWE8o,2024-08-26T14:15:08Z,Why You Should “Keep Going” #entrepreneurship,""
3JsgtpX_rpU,2024-08-16T14:02:17Z,3 AI Use Cases (that are not a chatbot),"Here, I share 3 ways to use AI to analyze sales data. I demonstrate each approach using real-world data from a recent warm ..."
bwW1I6JlI30,2024-08-12T17:47:20Z,How to Learn Anything #learning #shorts,""
3PIqhdRzhxE,2024-07-29T19:20:52Z,Local LLM Fine-tuning on Mac (M1 16GB),"Here, I show how to fine-tune an LLM locally using an M-series Mac. The example adapts Mistral 7b to respond to YT comments in ..."
y7xbHtFostg,2024-07-22T13:46:22Z,Data Science Explained in 60 Seconds,datascience.
f4Gsbq10j1s,2024-07-10T13:00:45Z,"How Much YouTube Paid Me for 1,000,000+ Views (no fluff)",Here's how much I made in my 1st year of monetization on YouTube. This is not a flex (it wouldn't be impressive if it was ).
TwVl4aA5qtk,2024-07-05T18:06:10Z,I Was Wrong About YouTube (what I learned),"Last quarter, I decided to double down on YouTube... it didn't go as expected. The Data Entrepreneurs: ..."
suxHNXk5jp0,2024-07-01T19:36:39Z,Why Businesses Should NOT use #AI,""
baxaZI_j71I,2024-06-19T21:57:56Z,3 Reasons Businesses Should NOT Use AI,"Over the past year, I've talked to 65 businesses about how to leverage AI effectively. Here are the three most common problems ..."
X8ZR6yFdg1Q,2024-06-17T14:12:45Z,AI Explained in 60 Seconds #ai,""
sxvyBxLVvKs,2024-06-13T23:44:59Z,The #1 Skill That Holds (Most) Data Scientists Back,"Here, I discuss why data scientists must be effective communicators and share 7 tips that have helped me improve this skill set."
XQWhJsXu0sY,2024-06-07T18:32:43Z,What Nature Can Teach Us About Business,"After 10 years of studying Nature, here are the 7 principles I've found most helpful as an entrepreneur. Read more: ..."
wJ794jLP2Tw,2024-05-30T15:41:30Z,Automating Data Pipelines with Python &amp; GitHub Actions [Code Walkthrough],More on Full Stack Data Science: https://www.youtube.com/playlist?list=PLz-ep5RbHosWmAt-AMK0MBgh3GeSvbCmL This is the ...
pJ_nCklQ65w,2024-05-18T15:24:22Z,"How to Deploy ML Solutions with FastAPI, Docker, &amp; AWS",More on Full Stack Data Science: https://www.youtube.com/playlist?list=PLz-ep5RbHosWmAt-AMK0MBgh3GeSvbCmL This is the ...
6qCrvlHRhcM,2024-05-11T15:00:08Z,How to Build ML Solutions (w/ Python Code Walkthrough),More on Full Stack Data Science: https://www.youtube.com/playlist?list=PLz-ep5RbHosWmAt-AMK0MBgh3GeSvbCmL This is the ...
OnIQrDiTtRM,2024-05-03T12:40:43Z,How to Build Data Pipelines for ML Projects (w/ Python Code),More on Full Stack Data Science: https://www.youtube.com/playlist?list=PLz-ep5RbHosWmAt-AMK0MBgh3GeSvbCmL This is the ...
eayzAZltV9U,2024-04-29T13:54:55Z,4 Lessons from AI Consulting #freelancing,""
03x2oYg9oME,2024-04-25T15:16:00Z,How to Manage Data Science Projects,More on Full Stack Data Science: https://www.youtube.com/playlist?list=PLz-ep5RbHosWmAt-AMK0MBgh3GeSvbCmL This is the ...
